month_key,State,Product ID,avg_delivery_days,total_orders
201902,California,FUR-BO-10003966,2.0,1
201902,California,FUR-CH-10000225,6.0,1
201902,California,OFF-BI-10003676,4.0,1
201902,California,OFF-BI-10004230,4.0,1
201902,California,OFF-FA-10001843,4.0,1
201902,California,OFF-PA-10000350,4.0,1
201902,California,OFF-PA-10001800,2.0,1
201902,California,OFF-PA-10003363,4.0,1
201902,Florida,OFF-BI-10000666,7.0,1
201902,Florida,TEC-PH-10002890,7.0,1
201902,Illinois,OFF-AR-10003631,7.0,1
201902,Illinois,OFF-BI-10001196,4.0,1
201902,Illinois,OFF-BI-10004094,4.0,1
201902,Indiana,FUR-FU-10000221,6.0,1
201902,Indiana,TEC-AC-10001284,6.0,1
201902,Missouri,FUR-FU-10002298,4.0,1
201902,Missouri,OFF-BI-10004728,4.0,1
201902,Missouri,OFF-BI-20004654,4.0,1
201902,Missouri,OFF-LA-10004853,4.0,1
201902,Missouri,OFF-ST-10002583,4.0,1
201902,Nevada,FUR-FU-10002111,1.0,1
201902,New Jersey,TEC-AC-10000710,5.0,1
201902,New York,OFF-ST-10001558,3.0,1
201902,Ohio,OFF-AR-10003560,3.0,1
201902,Oregon,OFF-PA-10000069,5.0,1
201902,Oregon,OFF-PA-10000174,5.0,1
201902,Texas,FUR-FU-10002396,0.0,1
201902,Texas,OFF-AP-10001303,5.0,1
201902,Texas,OFF-BI-10000320,4.0,1
201902,Texas,OFF-BI-10002012,5.0,1
201902,Texas,OFF-LA-10004425,4.0,1
201902,Texas,OFF-PA-10000466,5.0,1
201902,Texas,OFF-ST-10000321,6.0,1
201902,Virginia,FUR-TA-10003715,4.0,1
201902,Virginia,OFF-BI-10003291,4.0,1
201902,Virginia,OFF-LA-10002787,3.0,1
201902,Virginia,TEC-AC-10001432,4.0,1
201902,Virginia,TEC-PH-10001615,3.0,1
201902,Virginia,TEC-PH-10003645,3.0,1
201902,Washington,OFF-AP-10001293,4.0,1
201902,Washington,OFF-BI-10001031,4.0,1
201902,Washington,OFF-BI-10002827,3.0,1
201902,Washington,OFF-BI-10004593,3.0,1
201902,Washington,OFF-SU-10000157,4.0,1
201902,Washington,TEC-AC-10000736,4.0,1
201902,Wisconsin,TEC-AC-10001432,2.0,1
201908,Arizona,FUR-FU-10001602,6.0,1
201908,Arizona,OFF-BI-10001097,4.0,1
201908,Arizona,OFF-FA-10004838,4.0,1
201908,Arizona,OFF-PA-10001289,2.0,1
201908,Arizona,TEC-AC-10001767,6.0,1
201908,Arkansas,FUR-BO-10000711,7.0,1
201908,Arkansas,OFF-BI-10000829,4.0,1
201908,Arkansas,OFF-FA-10002676,4.0,1
201908,Arkansas,OFF-PA-10000595,4.0,1
201908,Arkansas,TEC-AC-10000844,4.0,1
201908,California,FUR-CH-10003817,4.0,1
201908,California,FUR-CH-10003833,4.0,1
201908,California,FUR-FU-10000723,2.0,1
201908,California,FUR-FU-10000771,4.0,1
201908,California,FUR-FU-10001979,7.0,1
201908,California,FUR-FU-10002878,4.0,1
201908,California,OFF-AP-10003287,4.0,1
201908,California,OFF-AP-10004708,7.0,1
201908,California,OFF-AR-10003056,5.0,1
201908,California,OFF-AR-10004602,6.0,1
201908,California,OFF-BI-10000632,2.0,1
201908,California,OFF-BI-10001575,4.0,1
201908,California,OFF-BI-10002215,5.0,1
201908,California,OFF-BI-10002309,4.0,1
201908,California,OFF-BI-10003638,4.0,1
201908,California,OFF-BI-10004506,2.0,1
201908,California,OFF-LA-10000262,7.0,1
201908,California,OFF-PA-10000167,4.0,1
201908,California,OFF-PA-10000659,4.0,1
201908,California,OFF-PA-10001144,4.0,1
201908,California,OFF-PA-10001667,5.0,1
201908,California,OFF-PA-10003001,0.0,1
201908,California,OFF-PA-10004475,0.0,1
201908,California,OFF-PA-10004983,4.0,1
201908,California,OFF-ST-10000321,6.0,1
201908,California,OFF-ST-10000532,3.0,1
201908,California,OFF-ST-10004258,4.0,1
201908,California,TEC-AC-10002323,4.0,1
